Source,Relevant Variables,Location
FAO Food Balances,"Imports, exports, domestic supply",https://www.fao.org/faostat/en/#data/FBS
Harvard Atlas of Economic Complexity,Exports,https://atlas.cid.harvard.edu/
World Development Indicators,"Population, income and consumption, national-level economics",https://databank.worldbank.org/source/world-development-indicators
World Food Programme,"Food market prices, precipitation, food security",https://dataviz.vam.wfp.org/asia-and-the-pacific/cambodia/overview?current_page=1&country=khm
United States Department of Agriculture Crop Explorer,"Drought, vegetation index, precipitation",https://ipad.fas.usda.gov/cropexplorer/imageview.aspx?ftypeid=61&fattributeid=13&regionid=seasia
World Bank Climate Knowledge Portal,"Temperature and precipitation trends, climate change risks, and projections",https://climateknowledgeportal.worldbank.org/country/cambodia
Cambodian National Bank,Exchange Rates,https://www.nbc.gov.kh/english/economic_research/exchange_rate.php
ILRI Research Report No. 119,Evidence Source,https://www.ilri.org/knowledge/publications/characterizing-smallholder-poultry-production-cambodia-evidence-baseline
Role of backyard poultry in South-East Asian countries: post COVID-19 perspective,Evidence Source,https://www.tandfonline.com/doi/full/10.1080/00439339.2021.1893620
CAS 2021 Statistical Release,Survey Data Summary,https://www.nis.gov.kh/nis/CAS23/CAS%202021%20-%20Statistical%20Brief%20-%20ENG.pdf
CAS 2021 Report - Livestock and Poultry,Survey Data Summary,https://www.nis.gov.kh/nis/CAS23/CAS%202021%20-%20Report%203%20-%20Raising%20of%20Livestock%20and%20Poultry%20-%20ENG.pdf
